,dialog,summary,finetuned_predicted
81,"240428: @hulu_support Current version of your Hulu app for Amazon FireTV has sound that is half a second or more delayed from video, even after cache clearing and other troubleshooting. Please tell me it's being fixed soon. It's been weeks now.
240428: @hulu_support Did the cache clearing, and will try uninstall reinstall this evening.
240428: @hulu_support I tried uninstall/reinstall, so I have been through all the troubleshooting steps. Problem seemed worse actually. There is a hulu uservoice where others are reporting this as well on Fire TV. I suspect it needs a bug fix.
240428: @hulu_support A month of my subscription fee has now been wasted trying to watch video with this audio delay on your Fire TV app.  I'm going to deactivate I think and wait for a version update.
hulu_support: @240428 Sorry for the continued trouble, Mark, as we'd hate to see you go! Have you tried connecting your Fire TV to a different HDMI port for comparison? If no change after, please call/chat us so we can take a closer look on our end: https://t.co/6YdK7bvQN7.
","Customer is complaining that the current version of Hulu app for  amazon fire tv , more delayed from video even after cache clearing and other troubleshooting. Agent updated that we do not support any external audio devices at this stage which may be and having trouble with Bluetooth.","Customer is complaining that current version of Hulu app for Amazon FireTV has sound that is half a second or more delayed from video even after cache clearing and other troubleshooting. Agent updated that to connect their Fire TV to a different HDMI port for comparison and if no change after, please call/chat them so they can take a closer look on their end."
82,"291315: @MicrosoftHelps I'm locked out of my email and cannot seem to get the forms right.. Help
MicrosoftHelps: @291315 Have you tried to recover your account using this link: https://t.co/s6hhcvLpa8? Let us know if it works.
MicrosoftHelps: @291315 Hello, JaeJae! Were you able to access your account after filling out the form?
MicrosoftHelps: @291315 Hi, Jae! How are you? Were you able to access your Microsoft account? Please send us a direct message if you need assistance.
MicrosoftHelps: @291315 Hi, Jae! How are you? Were you able to access your Microsoft account? Please send us a direct message if you need assistance.
",Customer is complaining about the email which has been locked and is unable to get the forms. Agent ask several questions and updates to reply them via DM for further assistance.,Customer is complaining that he is unable to get the forms right and he is locked out of his email. Agent updated that to send them a direct message if they need any assistance and also updated that they will look into this issue as soon as they can look into it.
83,"291315: @MicrosoftHelps I'm locked out of my email and cannot seem to get the forms right.. Help
MicrosoftHelps: @291315 Have you tried to recover your account using this link: https://t.co/s6hhcvLpa8? Let us know if it works.
291315: @MicrosoftHelps After 3 attempts no.
MicrosoftHelps: @291315 1/2 Oh! That's unusual. When was the last time you were able to access your account? Are you traveling or using a new device
MicrosoftHelps: @291315 Hi, Jae! How are you? Were you able to access your Microsoft account? Please send us a direct message if you need assistance.
","Customer is unable to get the forms since they have locked their mail. Agent updates with several solutions but customer seems not to reply, so agent requests to send them direct message if they need further assistance.",Customer is complaining that he is unable to access his email. Agent updated that to send them a direct message if they need any assistance and also updated that they will look into this issue further in the near future. Finally informed that they can try to recover their account using the provided link and also asked to send DM.
84,"291315: @MicrosoftHelps I'm locked out of my email and cannot seem to get the forms right.. Help
MicrosoftHelps: @291315 2/2  when you tried to access your account? Please reply to us via direct message. Thank you.
",The customer is seeking the help because he is locked out of his email and he can not seemed to get the forms right. The agent asked to reply them via direct message.,The customer is complaining that he is unable to access his email. The agent asked the customer to reply to them via direct message so that they can assist further on the issue and also informed that they will send a DM to the team concerned for further assistance. Finally the issue is resolved.
85,"372554: It's pointless trying to claim train delay compensation, my journey from Eastbourne to Basingstoke apparently isn't either @121513 or @SW_Help problem. Neither wants to admit there was a delay on both companies service!
372554: @SW_Help @121513 Your reference for the claim is DR-8008-2969. It was that day where people self-evacuated at Waterloo so your train to Basingstoke was delayed by ages
SW_Help: @372554 @121513 the initial Southern journey was delayed, you would need to claim compensation for the entire journey from them ^JM 2/2
SW_Help: @372554 Yes, because the delay from Southern would have caused you to miss your connection onto our service ^JM
",Customer is complaining about issues with claiming train delay compensation. Agent states to claim the compensation for the entire journey.,"Customer is complaining about the delay in the train from eastbourne to basingstoke. Agent updated that the initial Southern journey was delayed, so the customer would need to claim compensation for the entire journey from them and also informed that the delay from Southern would have caused the customer to miss his connection onto their service."
86,"372554: It's pointless trying to claim train delay compensation, my journey from Eastbourne to Basingstoke apparently isn't either @121513 or @SW_Help problem. Neither wants to admit there was a delay on both companies service!
372554: @SW_Help @121513 Your reference for the claim is DR-8008-2969. It was that day where people self-evacuated at Waterloo so your train to Basingstoke was delayed by ages
372554: @SW_Help @121513 Think it was the 2nd October and the 09:12 from Clapham to Basingstoke?
SW_Help: @372554 @121513 Hello, I've spoken with our customer services team. They have advised that as your journey originated with Southern, and that 1/2
SW_Help: @372554 @121513 the initial Southern journey was delayed, you would need to claim compensation for the entire journey from them ^JM 2/2
",Customer is that trying to claim train delay compensation his journey from Eastbourne to Basingstoke . Agent updated that due to miss their connection onto their service.,"Customer is complaining that it's pointless trying to claim train delay compensation. Agent updated that as their journey originated with Southern, and that as the initial Southern journey was delayed, they would need to claim compensation for the entire journey from them and also updated that they have spoken with their customer services team."
87,"802404: @Delta DL 1234. It says ""de-icing"" but the pilot let us know once maintenance got there, they found no ice. Missed DL 801, missed standby on the overbooked DL 2335, now waiting for flight 1765. Missed all mtgs by now. My ""compensation"" I was told was moving my seat from row 43 to 29. 😔
Delta: @802404 The flight history does indicate the delay was for deicing. Do you have additional information from the pilot what the maintenance was for?  *AJL
Delta: @802404 The flight history does indicate the delay was for deicing. Do you have additional information from the pilot what the maintenance was for?  *AJL
Delta: @802404 Aimee, all delays are frustrating and I'm sorry that you were affected. We'll try to have you on your way asap.  *TLT
",Customer is complaining about the delay of flights. Agent updated that the flight history does indicate the delay was for deicing.,Customer is complaining about the delay in flight. Agent states that the delay was for deicing and all delays are frustrating and they will try to have the customer on their way asap and apologies for the inconvenience they have experienced in the flight and also states that they will get back to the customer soon.
88,"802404: Oh @Delta .... Sorry, not sorry is the worst answer to give a customer. And I would agree, it IS an ""act of god"" that there was ice in 45 degree weather in FL. **Ice freezes at 32degrees** Still waiting 3 flights later.  #SoDisappointed
Delta: @802404 Hi, Aimee. What flight are you referring to? I would like to take a look.  *AJL
802404: @Delta DL 1234. It says ""de-icing"" but the pilot let us know once maintenance got there, they found no ice. Missed DL 801, missed standby on the overbooked DL 2335, now waiting for flight 1765. Missed all mtgs by now. My ""compensation"" I was told was moving my seat from row 43 to 29. 😔
802404: @Delta DL 1234. It says ""de-icing"" but the pilot let us know once maintenance got there, they found no ice. Missed DL 801, missed standby on the overbooked DL 2335, now waiting for flight 1765. Missed all mtgs by now. My ""compensation"" I was told was moving my seat from row 43 to 29. 😔
802404: @Delta Not a great response for what took me 3 flights to try to get where I should've been...especially when it means missed meetings and loss of business. I'm sure Delta wouldn't be happy about that either.  #NotASatisfiedCustomer
",Customer complains about delay in flight. Agent informs  that they will try to have customer on his way asap.,Customer is complaining about the de-icing of the flight. Agent updated the customer that they would like to know about the flight and also informed the customer to move his seat from row 43 to 29 and also inform that they have missed all the meetings and lost the business due to the delay.
89,"802404: Oh @Delta .... Sorry, not sorry is the worst answer to give a customer. And I would agree, it IS an ""act of god"" that there was ice in 45 degree weather in FL. **Ice freezes at 32degrees** Still waiting 3 flights later.  #SoDisappointed
Delta: @802404 The flight history does indicate the delay was for deicing. Do you have additional information from the pilot what the maintenance was for?  *AJL
",The customer is complaining regarding the delay maintenance. The agent confronted and  apologizes for the affected.,The customer is complaining that there was ice in 45 degree weather in FL and still waiting 3 flights later. The agent updated that the flight history does indicate the delay was for deicing and asked the customer to have additional information from the pilot what the maintenance was for and also informed that the delay is due to deicing.
90,"151136: @sainsburys your store in The North Brentford Quarter often don't get deliveries of popular brands of cigarettes (Tuesdays and Thursdays). Why? When other branches always have them.
151136: @sainsburys B&amp;H mainly Blue and Sky Blue, even the staff are fed up with it, not to mention your customers.
sainsburys: @151136 Thanks. Our system shows that 7 cases of Benson &amp; Hedges Blue King Size x20 and 3 cases of Benson &amp; Hedges Sky Blue King Size x 20 will be delivered tomorrow. Hope you can get some next time you're in store. Naomi
151136: @sainsburys I have just been into the North Brentford Quarter store and guess what. No Benson &amp; Hedges Blue or Sky Blue were delivered yesterday. Maybe you need a new system or go back to using humans to order stock instead of a computer.
",Customer complaint about not getting popular brand cigarettes. Agent informs customer that he has fed back to the relevant department for further investigation.,Customer is complaining that the store in The North Brentford Quarter often don't get deliveries of popular brands of cigarettes (Tuesdays and Thursdays). Agent updated that their system shows that 7 cases of Benson &amp; Hedges Blue King Size x20 and 3 cases of benson &amp ; Hedges Sky Blue King size x 20 will be delivered tomorrow and hope to get some next time they are in store.
91,"151136: @sainsburys your store in The North Brentford Quarter often don't get deliveries of popular brands of cigarettes (Tuesdays and Thursdays). Why? When other branches always have them.
sainsburys: @151136 Sorry, could you DM us the brands you're looking for with the link below? I'll have a check. Maclaine https://t.co/MdMtnTDxYf
151136: @sainsburys King size, they always have super king but never get the king size, also they seem to get deliveries of cigarettes that they are over stocked with and seldom sell.
sainsburys: @151136 Really sorry about that, I've fed this back to the relevant department for further investigation. Mariya
",Customer is complaining about sainsburys store in the north brentford quarter  often don't get deliveries of popular brand of cigarettes. Agent updated to sent the DM with the brand that the customer is looking for.,Customer is complaining that their store in The North Brentford Quarter often don't get deliveries of popular brands of cigarettes (Tuesdays and Thursdays). Agent updates that they have fed this back to the relevant department for further investigation and requests to DM the brands they are looking for with the provided link.
92,"151136: @sainsburys your store in The North Brentford Quarter often don't get deliveries of popular brands of cigarettes (Tuesdays and Thursdays). Why? When other branches always have them.
151136: @sainsburys B&amp;H mainly Blue and Sky Blue, even the staff are fed up with it, not to mention your customers.
151136: @sainsburys King size, they always have super king but never get the king size, also they seem to get deliveries of cigarettes that they are over stocked with and seldom sell.
sainsburys: @151136 Thanks. Our system shows that 7 cases of Benson &amp; Hedges Blue King Size x20 and 3 cases of Benson &amp; Hedges Sky Blue King Size x 20 will be delivered tomorrow. Hope you can get some next time you're in store. Naomi
151136: @sainsburys We shall see if it continues. I doubt that it will because the same situation has arisen many times before.
",Customer is complaining that the store near north brentford quarter don't get deliveries of popular brands of cigarattes. Agent updated that they had send this details back to the relevant department for further investigation.,Customer is complaining that the store in The North Brentford Quarter often don't get deliveries of popular brands of cigarettes (Tuesdays and Thursdays). Agent updated that their system shows that 7 cases of Benson &amp; Hedges Blue King Size x20 and 3 cases of benson &amp Sky Blue King size x 20 will be delivered tomorrow.
93,"147611: @Tesco is there any chance to still buy it and get the game later on. Or will I just go elsewhere?
Tesco: @147611 Hi Vicky, I'm sorry that this game's gone out of stock. Can you please let me know which game your looking for? 1/2
Tesco: @147611 Our IT team has fixed the issue, however it will take overnight for the website to update. 2/3
",The customer is asking to buy a online game lego city which is currently unavailable for him. The agent confronted the customer saying that the lego city app is having some issues and it will fixed soon and he can order it for tomorrow itself.,"The customer is asking that is there any chance to still buy it and get the game later on. The agent updated that their IT team has fixed the issue, however it will take overnight for the website to update and informed that this game's gone out of stock and asked to let them know which game the customer is looking for."
94,"147611: @Tesco is there any chance to still buy it and get the game later on. Or will I just go elsewhere?
Tesco: @147611 Hi Vicky, I'm sorry that this game's gone out of stock. Can you please let me know which game your looking for? 1/2
Tesco: @147611 I'll look to see if we have an estimated back in stock date. Kind regards - Andy 2/2
147611: @Tesco It’s the Lego world as part of the nitendo switch bundle for £299. Which I am needing.
Tesco: @147611 Hi Vicky, Lego City is the bundle but we're having some problems with the online bundle at the moment. It should be fixed soon. Ty - John
",Customer is enquirer is there any chance to still buy it and get the game later on. Agent updated they will be able to take advantage of all bundles as normal tomorrow.,Customer is enquiring that is there any chance to still buy it and get the game later on. Agent updated that Lego City is the bundle but they are having some problems with the online bundle at the moment and it should be fixed soon and also informed that they will look to see if they have an estimated back in stock date.
95,"120742: @Sw_help morning. How is the 846 fnb-wat train looking today?
SW_Help: @120742 Hi Nick, this train is currently on time between Winchester and Basingstoke. ^PN
120742: @SW_Help We left on time. What's with the stop start crawl into Surbiton? Bet you're going to make me late, as usual
120742: @SW_Help Ah, 12 minutes behind, so far. Marvellous. Keep purposefully running a bad service so you can cut loads out in the new timetable
SW_Help: @120742 Hi Nick, there have been two separate incidents on our network this morning which have led to delays: https://t.co/Ssj2lzz3Xm sorry for the delay this morning. ^PN
",Customer asking about how is the 846 fnb - wat  train looking today. Agent is updated that the train is currently  on time between Winchester and basingstoke.,Customer is enquiring about the train. Agent states that there have been two separate incidents on their network this morning which have led to delays.    also states that this train is currently on time between Winchester and Basingstoke.  and apologies for the delay this morning.
96,"120742: @Sw_help morning. How is the 846 fnb-wat train looking today?
SW_Help: @120742 Hi Nick, this train is currently on time between Winchester and Basingstoke. ^PN
120742: @SW_Help We left on time. What's with the stop start crawl into Surbiton? Bet you're going to make me late, as usual
SW_Help: @120742 Hi Nick, there have been two separate incidents on our network this morning which have led to delays: https://t.co/Ssj2lzz3Xm sorry for the delay this morning. ^PN
",Customer is enquiring about 846 fnb-wat train looking today. Agent updated that this train is currently on time between Winchester and Basingstoke.,Customer is enquiring about the train which is on time between Winchester and Basingstoke. Agent states that there have been two separate incidents on their network this morning which have led to delays.  Also states that this train is currently on time and apologies for the delay this morning.
97,"120742: @Sw_help morning. How is the 846 fnb-wat train looking today?
SW_Help: @120742 Hi Nick, this train is currently on time between Winchester and Basingstoke. ^PN
120742: @SW_Help Ah, 12 minutes behind, so far. Marvellous. Keep purposefully running a bad service so you can cut loads out in the new timetable
SW_Help: @120742 Hi Nick, there have been two separate incidents on our network this morning which have led to delays: https://t.co/Ssj2lzz3Xm sorry for the delay this morning. ^PN
",Customer is complaining about the train which is running 12 minutes behind schedule. Agent states that there were 2 separate incidents on their network causing the delay.,Customer is enquiring about the timings of the train. Agent states that there have been two separate incidents on their network this morning which have led to delays.  Also states that this train is currently on time between Winchester and Basingstoke.   and apologies for the delay this morning.
98,"445354: @delta thanks for the middle seat when I had a perfectly good aisle seat.
Delta: @445354 So you were assigned the complimentary Delta comfort + upgrade which reassign you from your aisle seat to the middle seat. *HPL
Delta: @445354 Usually once a passenger's seat is reassigned and the airport have not take control of the flight I an able to change the seat.  *HPL
445354: @Delta Thanks but no thanks. I was 10 on the list so 9 other people said no to the upgrade apparently.
Delta: @445354 Your feedback is greatly appreciated. I will forward this to the ATL airport customer service leadership team. *HPL
",Customer is complaining about the seating issue where they have booked for middle seat but got aisle seat. Agent apologized and states that they will forward this issue to ATL airport customer service leadership team.,Customer is complaining about the middle seat where they had a perfectly good aisle seat. Agent updates that they will forward this to the ATL airport customer service leadership team.    Finally the customer can change the seat if the airport does not take control of the flight and requests to reach out to them directly via email.
99,"445354: @delta thanks for the middle seat when I had a perfectly good aisle seat.
Delta: @445354 If the airport has control then I am unable to reassign the seat. My apologies for the inconvenience.  *HPL
Delta: @445354 Your feedback is greatly appreciated. I will forward this to the ATL airport customer service leadership team. *HPL
",Customer is complaining about the last minute changes to his seat which resulted in middle seat from aisle seat. Agent states that he is unable to reassign the seat once airport has taken control of the flight but assures to forward it to the ATL airport customer service leadership team.,Customer is complaining about the middle seat where they had a perfectly good aisle seat. Agent updated that if the airport has control then they are unable to reassign the seat and informed that they will forward this to the ATL airport customer service leadership team and also informed that their feedback is greatly appreciated.
100,"790586: @Delta Flight status via your website seems not to be working? Is that the case?
Delta: @790586 Joan, we are unaware of any current issues. If you continue to experience issues, please contact Online Customer Support Desk at 888-750-3284. They can assist you with your online transaction.  *ACJ
790586: @Delta OK but website is where I turn to simply check flight status. Seems odd it is not working. Am picking up Delta passengers and use the website to check flight status.
Delta: @790586 Hi. What Delta Flight are you trying to track status for? *TMA
790586: @Delta Thx, I utilized the airport website and located arrival info there. Thanks
Delta: @790586 I just went to the website on my personal tablet, and the website is pulling up any Delta Flight that I type in.   *TMA
",Customer is complaining about the website which is not showing flight status. Agent suggested that if this issue still exist then they can contact online customer support desk for assistance.,"Customer is complaining about the Delta Flight status via the website which is not working. Agent updated the customer to contact online customer support desk at 888-750-3284 and also informed that they are unaware of any current issues and informed that he just went to the website on his personal tablet, and the website is pulling up any Delta Flight that he type in."
101,"790586: @Delta Flight status via your website seems not to be working? Is that the case?
Delta: @790586 Joan, we are unaware of any current issues. If you continue to experience issues, please contact Online Customer Support Desk at 888-750-3284. They can assist you with your online transaction.  *ACJ
790586: @Delta OK but website is where I turn to simply check flight status. Seems odd it is not working. Am picking up Delta passengers and use the website to check flight status.
Delta: @790586 Hi. What Delta Flight are you trying to track status for? *TMA
Delta: @790586 I just went to the website on my personal tablet, and the website is pulling up any Delta Flight that I type in.   *TMA
790586: @Delta OK thx maybe it was temporarily not working. I use it frequently. It was not cached. I typed in https://t.co/YBV65hkA8E
Thx for your efforts
",Here customer complains about the website  not working while he was looking for the flight  via website. Agent gives the number for better solution for his issue and tells the customer as its working fine he can check and enjoy the service.,"Customer is complaining that Delta Flight status via their website seems not to be working. Agent updated that they are unaware of any current issues and asked to contact online customer support desk at 888-750-3284 to assist them with their online transaction and also informed that if they continue to experience issues, please contact Online customer Support Desk."
102,"790586: @Delta Flight status via your website seems not to be working? Is that the case?
Delta: @790586 Joan, we are unaware of any current issues. If you continue to experience issues, please contact Online Customer Support Desk at 888-750-3284. They can assist you with your online transaction.  *ACJ
Delta: @790586 Joan, we are unaware of any current issues. If you continue to experience issues, please contact Online Customer Support Desk at 888-750-3284. They can assist you with your online transaction.  *ACJ
790586: @Delta Thx, I utilized the airport website and located arrival info there. Thanks
",Customer Enquiring  why the delta flight status are not working via website. Agent suggest that if you continue to experience issues please contact online customer support desk.,Customer is complaining about the Delta Flight status via their website which seems not to be working. Agent updates that they are unaware of any current issues and requests to contact online customer support desk at 888-750-3284 to assist with online transaction and also states that they have located arrival info on the airport website.
103,"790586: @Delta Flight status via your website seems not to be working? Is that the case?
Delta: @790586 Joan, we are unaware of any current issues. If you continue to experience issues, please contact Online Customer Support Desk at 888-750-3284. They can assist you with your online transaction.  *ACJ
",The customer complaining that flight status via your website is not working. The agent told the customer that if he still faces the same issue he can  call to the customer care number 8887503284.,The customer is complaining that the flight status on the website is not working. The agent updated that they are unaware of any current issues and asked to contact online customer support desk at 888-750-3284 for further assistance and also informed that they will assist them with online transaction.
104,"712348: @ATVIAssist for some reason in the blackjacks gun game mode for blops 3, I keep being kicked for inactivity after 20 seconds of playing.
ATVIAssist: @712348 Hi there, Are you playing on a wireless connection? If so, please use a wired connection and try again. ^TE
712348: @ATVIAssist I’ll try hopping in a game right now and see! Thanks for checking up on my issue!
ATVIAssist: @712348 Sweet! If you run into this issue again remember to get video and send that over to us. ^FB
",Customer is complaining that he is unable to play the game for more than 20 seconds. Agent suggests to use a wired connection and to get a video of the issue.,"Customer is complaining that for some reason in the blackjacks gun game mode for blops 3, they keep being kicked for inactivity after 20 seconds of playing. Agent updates that if they run into this issue again remember to get video and send that over to them."
105,"712348: @ATVIAssist for some reason in the blackjacks gun game mode for blops 3, I keep being kicked for inactivity after 20 seconds of playing.
712348: @ATVIAssist It was wired actually. I double checked everything and it was all connected I believe. But i’ll try again today and see if it was just me
ATVIAssist: @712348 Hey there, are you still being kicked out of matches for inactivity? ^FB
ATVIAssist: @712348 For sure, if the issue continues send over a video of what you're encountering. ^FB
ATVIAssist: @712348 Sweet! If you run into this issue again remember to get video and send that over to us. ^FB
",Customer is facing an issue while playing games. Agent updated to report the issue via FB if issue gets continue.,"Customer is complaining that for some reason in the blackjacks gun game mode for blops 3, keep being kicked for inactivity after 20 seconds of playing. Agent updates that if they run into this issue again remember to get video and send that over to them if it continues."
106,"712348: @ATVIAssist for some reason in the blackjacks gun game mode for blops 3, I keep being kicked for inactivity after 20 seconds of playing.
ATVIAssist: @712348 Hi there, Are you playing on a wireless connection? If so, please use a wired connection and try again. ^TE
ATVIAssist: @712348 Hi there, Are you playing on a wireless connection? If so, please use a wired connection and try again. ^TE
712348: @ATVIAssist It was wired actually. I double checked everything and it was all connected I believe. But i’ll try again today and see if it was just me
712348: @ATVIAssist It was wired actually. I double checked everything and it was all connected I believe. But i’ll try again today and see if it was just me
ATVIAssist: @712348 For sure, if the issue continues send over a video of what you're encountering. ^FB
712348: @ATVIAssist My last match went flawlessly. Thanks again!
",Customer complaining about blackjacks gun game inactivity after 20 seconds of playing. Agent is telling please use a wired connection.,"Customer is complaining that for some reason in the blackjacks gun game mode for blops 3, keep being kicked for inactivity after 20 seconds of playing. Agent updated that if the issue continues send over a video of what the customer is encountering and also informed that his last match went flawlessly."
107,"712348: @ATVIAssist for some reason in the blackjacks gun game mode for blops 3, I keep being kicked for inactivity after 20 seconds of playing.
ATVIAssist: @712348 For sure, if the issue continues send over a video of what you're encountering. ^FB
",The customer is complaining that he was kicked out of matches for inactivity. The agent asked to send a video of the issue he is facing.,"The customer is complaining that for some reason in the blackjacks gun game mode for blops 3, he keep being kicked for inactivity after 20 seconds of playing. The agent asked to send over a video of what they are encountering and also updated that if the issue continues it will be resolved."
108,"706868: What's the point in @sainsburys double-up when they can't be bothered to stock up on things? If you don't have something in, at least order it in so that it can be collected from the shop with the double up points!
706868: @sainsburys My Mum was looking for Super Mario Odyessy and Sonic Forces for Nintendo Switch.
706868: @sainsburys Sainsburys Scarborough. They usually have a very poor selection; we have been disappointed in the past, especially when they don't offer to order what you'd like in for you to use on the double up.
sainsburys: @706868 Unfortunately not, however stock is usually put out on the shelves a day after delivery. To find out for sure on the day you plan to travel, it would be best to give them a call in advance (01723 500693). Hope this helps! Ewan
706868: @sainsburys Hypothetically if you were to ring and ask them to hold a copy of both back when they receive this delivery, would they agree to do so to ensure they don't sell out of either game before you get there?
",Customer having disappointment double up points and stocks at sainsburys. Agent has taken the post code details from the customer to ensure of on timing delivery.,"Customer is complaining that what's the point in @sainsburys double-up when they can't be bothered to stock up on things. Agent updated that to find out for sure on the day you plan to travel, it would be best to give them a call in advance."
109,"706868: What's the point in @sainsburys double-up when they can't be bothered to stock up on things? If you don't have something in, at least order it in so that it can be collected from the shop with the double up points!
706868: What's the point in @sainsburys double-up when they can't be bothered to stock up on things? If you don't have something in, at least order it in so that it can be collected from the shop with the double up points!
sainsburys: @706868 Apologies, was there an item in particular you were looking for? Steven
sainsburys: @706868 What store do you usually shop in? I'll take a look on our system for you. Dan
sainsburys: @706868 What store do you usually shop in? I'll take a look on our system for you. Dan
sainsburys: @706868 Unfortunately not, however stock is usually put out on the shelves a day after delivery. To find out for sure on the day you plan to travel, it would be best to give them a call in advance (01723 500693). Hope this helps! Ewan
sainsburys: @706868 Unfortunately not, however stock is usually put out on the shelves a day after delivery. To find out for sure on the day you plan to travel, it would be best to give them a call in advance (01723 500693). Hope this helps! Ewan
706868: @sainsburys Thanks for the reply. That's disappointing.
sainsburys: @706868 You're welcome Sean. Ewan
",Customer is asking whats the point in to double up  when they cant be bothered  to stock up on things. Agent asking what store do you usually shop in and i will take a look on your system for u.,"Customer is complaining about double-up in sainburys. Agent updated that to find out for sure on the day you plan to travel, it would be best to give them a call in advance (01723 500693) Finally informed that stock is usually put out on the shelves a day after delivery and informed that they will take a look on their system."
110,"706868: What's the point in @sainsburys double-up when they can't be bothered to stock up on things? If you don't have something in, at least order it in so that it can be collected from the shop with the double up points!
706868: @sainsburys My Mum was looking for Super Mario Odyessy and Sonic Forces for Nintendo Switch.
sainsburys: @706868 Thanks for confirming. Our system is showing that they're due a delivery on the 18th November. I'd advise calling ahead to avoid an unnecessary journey, their number is 01723 500693...1/2 https://t.co/MdMtnTlX6H
",The customer is looking for super mario odyessy and sonic forces at the sainsburg scarborough. The agent advised the customer to call and avoid the unnecessary journey by  calling to 01723500693 or to dm their postcode to check the stock in the other stores in their area.,Customer is complaining about double-up in sainburys. Agent updated that their system is showing that they're due a delivery on the 18th November and advised to call ahead to avoid an unnecessary journey and their number is 01723 500693. Finally the agent updated that they are due delivery on 18th Nov.
111,"706868: What's the point in @sainsburys double-up when they can't be bothered to stock up on things? If you don't have something in, at least order it in so that it can be collected from the shop with the double up points!
706868: @sainsburys My Mum was looking for Super Mario Odyessy and Sonic Forces for Nintendo Switch.
sainsburys: @706868 Thanks for confirming. Our system is showing that they're due a delivery on the 18th November. I'd advise calling ahead to avoid an unnecessary journey, their number is 01723 500693...1/2 https://t.co/MdMtnTlX6H
sainsburys: @706868 Unfortunately not, however stock is usually put out on the shelves a day after delivery. To find out for sure on the day you plan to travel, it would be best to give them a call in advance (01723 500693). Hope this helps! Ewan
sainsburys: @706868 As it will still be in our Double Up promotional period, they wouldn't be able to hold any stock for customers. Sorry to disappoint. Ewan
","Customer is complaining about the double - up when there are no stock up on things. Agent stated as it will still be in their double up promotional period, they will not be able to hold any stock for customers and apologies for the disappointment.","Customer is complaining about double-up when they can't be bothered to stock up on things. Agent updated that as it will still be in their double up promotional period, they wouldn't be able to hold any stock for customers and informed that stock is usually put out on the shelves a day after delivery."
112,"763973: @GWRHelp when the whole train is full bar two nearly empty first class carriages, do you think a more flexible approach might be warranted?!
GWRHelp: @763973 Hello Gavin. You'll need to speak to the Train Manager, this would be at their discretion. - Jordan
763973: @GWRHelp Perhaps they need to know that! He was busy heading into the already full carriages
763973: @GWRHelp Right. So at what point (one station away from Paddington) does it make sense to announce that? Those seats aren’t going to be taken where there’s no stops left but there were plenty of cramped passengers in cattle class!
GWRHelp: @763973 It is a decision taken by the Train Manager based on conditions on-board. As it effectively makes the carriage another standard class one, it doesn't happen every time there are no seats left. Lewis
",Customer asking about the whole train is full bar two nearly empty first class carriages  are you think more flexible approach might be warranted. Agent suggests that u need to speak to the train manager.,"Customer is complaining that when the whole train is full bar two nearly empty first class carriages, do you think a more flexible approach might be warranted. Agent updated that it is a decision taken by the Train manager based on conditions on board and it doesn't happen every time there are no seats left."
113,"763973: @GWRHelp when the whole train is full bar two nearly empty first class carriages, do you think a more flexible approach might be warranted?!
GWRHelp: @763973 Hello Gavin. You'll need to speak to the Train Manager, this would be at their discretion. - Jordan
GWRHelp: @763973 It is a decision taken by the Train Manager based on conditions on-board. As it effectively makes the carriage another standard class one, it doesn't happen every time there are no seats left. Lewis
763973: @GWRHelp Thanks Phil. Making sure the train managers know they can use their discretion would be a start too!
",Customer is having an issue in the train. Agent updated the customer to get in touch with train manager for the issue.,"Customer is complaining that when the whole train is full bar two nearly empty first class carriages, do you think a more flexible approach might be warranted. Agent updated that it is a decision taken by the Train Manager based on conditions on-board and effectively makes the carriage another standard class one, it doesn't happen every time there are no seats left."
114,"763973: @GWRHelp when the whole train is full bar two nearly empty first class carriages, do you think a more flexible approach might be warranted?!
GWRHelp: @763973 If First Class is declassified there will be announcement on-board to advise. Lewis
763973: @GWRHelp I think we're going round in circles - I'm simply asking what is the actual point of having two empty carriages on a packed train. Guess it depends whether you want to please customers or not...
GWRHelp: @763973 Apologies for the discomfort on your journey today Gavin, I'll record your feedback on declassification of First. Phil.
",Customer is complaining about the 2 empty first class carriages on an over crowded train. Agent states that an announcement will be made if the first class is declassified and the feedback has been recorded.,"Customer is complaining that when the whole train is full bar two nearly empty first class carriages, do they think a more flexible approach might be warranted. Agent updates that if first class is declassified there will be announcement on board to advise and they will record their feedback on declassification of first class."
